Sexe,age,Emploi,Telephone,statut_personnel,mois_pret_duree,historique de credit,but,Prix ( TND),personnes a charge,solde_d'epargne,duree_emploi,taux de versement ( par mois ) ,autres_debiteurs,Historique residence,propriete,logement,credits_existants,Score
Homme,21,employe qualifie,25324182,marie,18,rembourse,voiture (occasion),5558,1,550,2 annees,1,rien,1 ans,autre,louer,1,0
Homme,46,employe qualifie,28497529,Celibataire,18,critique,Electronique,2298,1,12160,1 ans,4,rien,2 annees,immobilier,propre,2,0
Femme,55,chomeur non resident,28555593,,18,critique,reparations,2380,2,700,,2,rien,13 ans,inconnu/aucun,gratuitement,3,1
Homme,74,resident non qualifie,25365223,Celibataire,5,rembourse,Entreprise,6896,1,30,7 ans,1,rien,14 ans,immobilier,propre,1,0
Homme,29,independant de gestion,23710023,Celibataire,24,rembourse,autres,22656,1,220,2 annees,2,codemandeur,2 annees,autre,propre,2,1
Homme,36,independant de gestion,23924979,Celibataire,6,critique,meubles,3744,1,340,,4,rien,13 ans,inconnu/aucun,gratuitement,3,0
Homme,33,employe qualifie,21613536,divorce,24,critique,reparations,4116,1,710,3 annees,4,rien,7 mois,immobilier,propre,2,0
Homme,25,employe qualifie,27748484,Celibataire,9,rembourse,meubles,4272,1,710,2 annees,3,rien,0 mois,immobilier,propre,1,0
Homme,25,employe qualifie,28866361,marie,12,rembourse,Electronique,2968,1,0,1 ans,2,rien,,immobilier,propre,1,1
Homme,23,resident non qualifie,26009407,marie,6,rembourse,reparations,1320,1,5610,5 annees,2,rien,8 annees,immobilier,louer,1,0
Femme,37,employe qualifie,20946634,,24,critique,voiture (neuve),2574,1,183180,12 ans,4,rien,5 annees,immobilier,propre,2,0
Homme,65,chomeur non resident,29225314,Celibataire,42,critique,reparations,6788,1,610,,4,codemandeur,20 ans,autre,propre,2,0
Femme,26,chomeur non resident,24147927,,12,entierement rembourse cette banque,Entreprise,1218,1,740,3 mois,4,rien,,immobilier,propre,1,1
Homme,39,independant de gestion,21958294,Celibataire,12,rembourse,voiture (neuve),3768,1,890,9 annees,4,rien,18 ans,autre,propre,1,0
Homme,29,employe qualifie,25141489,Celibataire,20,retarde,autres,5258,1,400,2 annees,2,rien,2 annees,autre,propre,2,0
Homme,41,resident non qualifie,23368935,Celibataire,12,rembourse,education,1438,2,320,13 ans,4,rien,10 annees,autre,propre,1,1
Femme,41,resident non qualifie,21588828,,9,critique,education,2488,1,0,12 ans,4,rien,16 ans,l'epargne de la societe de construction,louer,2,0
Femme,34,employe qualifie,24379514,,36,rembourse,voiture (neuve),3684,1,30,8 mois,4,rien,24 ans,autre,propre,1,1
Homme,35,employe qualifie,25221785,Celibataire,7,rembourse,Electronique,5152,1,180,3 annees,2,garant,1 mois,immobilier,propre,1,0
Femme,55,independant de gestion,22424428,,12,rembourse,meubles,2848,1,0,13 ans,3,rien,12 ans,immobilier,propre,1,0
Homme,61,employe qualifie,23438384,marie,15,retarde,reparations,3024,1,15250,1 ans,3,rien,1 ans,l'epargne de la societe de construction,propre,2,1
Homme,30,independant de gestion,22222854,Celibataire,36,critique,voiture (occasion),22108,1,0,3 annees,4,rien,3 mois,autre,propre,1,0
Homme,34,employe qualifie,25831910,Celibataire,12,entierement rembourse,meubles,5518,1,830,12 ans,2,rien,15 ans,l'epargne de la societe de construction,propre,2,0
Homme,31,employe qualifie,23025809,Celibataire,24,rembourse,voiture (neuve),9634,1,870,7 ans,2,codemandeur,2 annees,l'epargne de la societe de construction,propre,1,1
Femme,29,independant de gestion,22696333,,24,rembourse,voiture (occasion),5358,1,350,8 mois,4,rien,,inconnu/aucun,propre,1,0
Homme,36,employe qualifie,25586985,Celibataire,11,critique,voiture (neuve),7810,2,960,1 ans,2,rien,11 mois,immobilier,louer,2,0
Homme,32,employe qualifie,20696871,Celibataire,18,rembourse,Electronique,9188,1,680,4 mois,3,rien,0 mois,autre,propre,1,0
Homme,37,employe qualifie,24549627,Celibataire,36,rembourse,meubles,7240,2,620,3 annees,1,garant,9 mois,l'epargne de la societe de construction,propre,1,0
Homme,38,employe qualifie,25312917,Celibataire,12,rembourse,reconversion,1508,1,0,13 ans,4,rien,19 annees,l'epargne de la societe de construction,propre,2,0
Homme,34,employe qualifie,27598914,Celibataire,18,rembourse,Entreprise,3900,1,530,4 annees,4,rien,,autre,propre,2,0
Homme,63,employe qualifie,23254671,Celibataire,24,rembourse,voiture (occasion),5848,2,370,3 annees,3,garant,6 ans,inconnu/aucun,propre,1,0
Femme,29,resident non qualifie,24647761,,24,retarde,Electronique,3318,1,880,11 mois,4,rien,10 mois,autre,louer,1,1
Homme,32,employe qualifie,28477969,Celibataire,48,retarde,Electronique,14476,2,0,12 ans,3,rien,1 ans,autre,propre,2,0
Homme,35,resident non qualifie,28409630,Celibataire,24,retarde,voiture (occasion),9358,1,250,4 annees,3,rien,4 annees,autre,propre,2,0
Femme,23,employe qualifie,21548047,,6,rembourse,education,896,1,520,7 mois,4,rien,22 ans,l'epargne de la societe de construction,propre,1,1
Homme,36,independant de gestion,26572347,Celibataire,6,rembourse,reconversion,2476,2,0,,4,rien,15 ans,l'epargne de la societe de construction,propre,1,0
Homme,33,employe qualifie,20815960,marie,18,critique,Electronique,2490,1,330,2 annees,4,rien,1 mois,autre,propre,1,1
Homme,24,employe qualifie,26539612,Celibataire,39,rembourse,voiture (occasion),5138,1,8170,3 annees,4,rien,16 ans,autre,propre,1,0
Homme,25,employe qualifie,25836267,Celibataire,24,rembourse,Electronique,10304,1,160,5 annees,4,rien,8 mois,autre,propre,1,0
Homme,39,resident non qualifie,22551379,Celibataire,12,rembourse,Entreprise,2074,1,1260,5 annees,3,rien,12 ans,immobilier,propre,1,0
Homme,44,employe qualifie,25175194,Celibataire,15,critique,meubles,2956,2,540,15 ans,4,rien,18 ans,autre,propre,2,0
Femme,23,resident non qualifie,21578017,,12,critique,Electronique,7146,1,310,3 annees,1,rien,,immobilier,propre,1,0
Homme,26,employe qualifie,21323913,Celibataire,24,rembourse,voiture (neuve),2402,1,10,6 mois,4,rien,,l'epargne de la societe de construction,propre,1,0
Femme,57,employe qualifie,20505520,,30,rembourse,meubles,7244,1,149570,14 ans,4,rien,6 ans,l'epargne de la societe de construction,louer,2,0
Femme,30,employe qualifie,28297623,,15,retarde,meubles,1920,1,162420,4 annees,3,rien,2 mois,l'epargne de la societe de construction,propre,2,0
Homme,47,independant de gestion,28578522,Celibataire,6,retarde,voiture (neuve),2418,1,90,,4,rien,9 annees,l'epargne de la societe de construction,propre,1,1
Homme,52,employe qualifie,22630154,Celibataire,12,rembourse,Electronique,6154,1,700,3 annees,2,rien,12 ans,autre,propre,1,0
Femme,62,employe qualifie,24266535,,24,rembourse,voiture (neuve),7514,1,360,15 ans,4,codemandeur,5 annees,inconnu/aucun,gratuitement,1,0
Homme,35,resident non qualifie,22172156,Celibataire,10,rembourse,voiture (neuve),2836,1,3880,1 ans,3,rien,1 mois,immobilier,louer,1,0
Homme,26,employe qualifie,25208157,Celibataire,6,rembourse,voiture (neuve),7036,1,300,2 annees,2,garant,4 annees,l'epargne de la societe de construction,louer,1,0
Homme,26,employe qualifie,22748576,Celibataire,12,critique,Electronique,3868,1,500,7 ans,2,rien,7 mois,inconnu/aucun,propre,2,0
Femme,42,independant de gestion,26601605,,27,entierement rembourse,Entreprise,16636,1,760,10 annees,2,rien,11 ans,inconnu/aucun,gratuitement,2,1
Homme,39,resident non qualifie,23617975,Celibataire,12,critique,voiture (neuve),4244,2,110,2 annees,3,rien,2 mois,immobilier,louer,2,0
Homme,20,employe qualifie,20609731,marie,24,rembourse,meubles,5992,1,0,3 annees,2,rien,9 annees,autre,propre,1,1
Femme,27,employe qualifie,24739997,,24,rembourse,voiture (neuve),6246,1,600,2 mois,4,rien,,l'epargne de la societe de construction,propre,1,1
Homme,42,employe qualifie,28673841,Celibataire,36,rembourse,voiture (occasion),10986,2,510,14 ans,2,rien,10 annees,inconnu/aucun,gratuitement,1,0
Homme,49,employe qualifie,22774597,divorce,9,rembourse,Electronique,2252,1,1060,15 ans,2,rien,19 annees,immobilier,propre,1,0
Homme,38,employe qualifie,23915915,Celibataire,24,critique,Electronique,2432,2,3290,7 mois,4,rien,16 ans,inconnu/aucun,propre,2,1
Femme,24,employe qualifie,26528700,,24,rembourse,voiture (neuve),2414,1,480,4 mois,4,rien,7 ans,l'epargne de la societe de construction,louer,1,1
Homme,36,employe qualifie,26488415,Celibataire,15,critique,voiture (occasion),4720,1,5590,3 annees,2,rien,9 mois,autre,propre,1,0
Homme,34,independant de gestion,21805368,Celibataire,15,entierement rembourse cette banque,voiture (neuve),13700,2,2190,,1,rien,7 mois,l'epargne de la societe de construction,propre,1,1
Homme,45,independant de gestion,25165227,Celibataire,39,rembourse,voiture (occasion),17176,1,2060,8 annees,4,rien,7 mois,autre,propre,1,0
Homme,26,employe qualifie,27597856,Celibataire,12,rembourse,voiture (neuve),1518,1,460,7 ans,4,rien,3 mois,immobilier,propre,1,1
Homme,32,independant de gestion,27431317,Celibataire,36,rembourse,voiture (occasion),9372,1,830,2 annees,2,rien,11 mois,inconnu/aucun,gratuitement,1,0
Homme,54,employe qualifie,22318870,Celibataire,24,rembourse,voiture (neuve),4510,1,0,6 mois,4,rien,,l'epargne de la societe de construction,propre,1,0
Homme,40,resident non qualifie,27572335,Celibataire,6,critique,voiture (neuve),2722,2,190,9 mois,2,rien,13 ans,immobilier,propre,1,0
Femme,23,employe qualifie,23526056,,36,critique,meubles,14254,1,520,0 mois,2,rien,15 ans,l'epargne de la societe de construction,louer,2,1
Homme,43,employe qualifie,25267016,Celibataire,6,rembourse,voiture (neuve),2406,1,1990,12 ans,3,rien,10 mois,l'epargne de la societe de construction,propre,1,0
Homme,44,employe qualifie,29205971,Celibataire,24,critique,reparations,11014,1,250,13 ans,3,rien,14 ans,inconnu/aucun,gratuitement,2,0
Femme,24,employe qualifie,28902693,,18,rembourse,Electronique,6380,1,890,2 annees,2,rien,0 mois,immobilier,propre,1,1
Femme,23,employe qualifie,28958712,,24,rembourse,voiture (occasion),6976,1,3610,6 ans,3,rien,14 ans,autre,propre,1,0
Homme,30,employe qualifie,22061327,Celibataire,26,rembourse,voiture (occasion),15932,1,860,4 mois,2,rien,2 annees,autre,propre,2,0
Femme,31,employe qualifie,26598346,,15,critique,education,3064,1,4100,1 ans,4,rien,3 annees,autre,propre,1,0
Homme,42,resident non qualifie,26665488,Celibataire,4,critique,Electronique,3006,2,570,7 ans,2,rien,,immobilier,propre,2,0
Homme,41,resident non qualifie,22011018,Celibataire,6,rembourse,voiture (neuve),1324,2,130,11 mois,3,rien,11 ans,immobilier,propre,1,0
Homme,32,employe qualifie,24001516,Celibataire,36,rembourse,education,4546,2,570,4 annees,3,rien,,autre,propre,2,0
Homme,26,employe qualifie,28412289,marie,24,rembourse,Electronique,2622,1,1640,6 ans,4,rien,3 annees,l'epargne de la societe de construction,propre,1,0
Homme,25,employe qualifie,22815634,Celibataire,24,rembourse,Electronique,6210,1,0,3 mois,4,rien,1 mois,autre,propre,2,0
Homme,33,employe qualifie,24610790,divorce,21,critique,education,4638,1,290,9 mois,2,rien,,autre,louer,1,1
Femme,75,independant de gestion,26881356,,6,rembourse,voiture (neuve),2748,1,0,,4,rien,3 annees,l'epargne de la societe de construction,propre,1,0
Femme,37,employe qualifie,21968679,,18,critique,meubles,7224,1,190,11 ans,3,rien,17 ans,l'epargne de la societe de construction,propre,1,0
Homme,42,independant de gestion,20840026,Celibataire,48,rembourse,voiture (neuve),15526,1,190,11 ans,4,rien,8 annees,inconnu/aucun,gratuitement,1,1
Femme,45,resident non qualifie,28797156,,18,rembourse,meubles,6098,1,50,7 mois,1,rien,,l'epargne de la societe de construction,propre,1,0
Homme,60,employe qualifie,27633835,Celibataire,24,retarde,voiture (neuve),4064,1,710,13 ans,4,rien,8 annees,inconnu/aucun,gratuitement,2,0
Homme,31,employe qualifie,27221198,Celibataire,30,rembourse,meubles,12700,1,0,15 ans,4,rien,21 ans,l'epargne de la societe de construction,propre,1,1
Homme,34,resident non qualifie,24120310,Celibataire,18,rembourse,meubles,5728,2,800,3 annees,2,rien,,immobilier,propre,1,1
Homme,61,resident non qualifie,27883733,Celibataire,12,critique,voiture (neuve),2510,1,40,19 annees,4,rien,14 ans,immobilier,propre,2,0
Homme,43,employe qualifie,22822064,Celibataire,24,retarde,voiture (neuve),2666,2,380,,4,rien,11 mois,immobilier,gratuitement,2,1
Femme,37,employe qualifie,25707068,,24,critique,voiture (neuve),4044,1,800,3 annees,4,rien,8 annees,autre,propre,1,0
Homme,45,resident non qualifie,21154523,Celibataire,6,entierement rembourse cette banque,Electronique,3500,2,5160,12 ans,2,rien,9 annees,l'epargne de la societe de construction,propre,1,0
Homme,34,employe qualifie,24116179,marie,48,rembourse,Electronique,13998,1,510,5 annees,1,garant,,immobilier,propre,2,1
Homme,22,employe qualifie,28857997,Celibataire,12,rembourse,Electronique,2662,1,500,7 mois,2,rien,,autre,propre,1,1
Femme,28,employe qualifie,27009716,,18,entierement rembourse,voiture (neuve),4556,1,4060,1 mois,3,rien,1 ans,autre,propre,2,1
Femme,29,employe qualifie,27463497,,21,entierement rembourse,voiture (neuve),10006,1,0,3 annees,1,rien,8 annees,l'epargne de la societe de construction,propre,2,1
Homme,49,employe qualifie,26671084,Celibataire,24,rembourse,voiture (occasion),5928,2,0,13 ans,4,rien,24 ans,inconnu/aucun,gratuitement,1,0
Homme,24,resident non qualifie,25629001,Celibataire,24,entierement rembourse cette banque,Electronique,3092,1,220,4 annees,4,garant,24 ans,autre,louer,1,1
Femme,29,employe qualifie,27290372,,6,retarde,Electronique,1366,1,320,9 mois,2,rien,,l'epargne de la societe de construction,propre,1,0
Homme,37,employe qualifie,21411751,Celibataire,36,rembourse,voiture (neuve),24778,1,0,3 annees,1,rien,5 annees,inconnu/aucun,gratuitement,1,1
Homme,37,independant de gestion,26354961,Celibataire,24,retarde,Entreprise,9424,1,0,3 annees,4,rien,10 mois,l'epargne de la societe de construction,propre,2,0
Femme,23,employe qualifie,26829861,,24,retarde,Electronique,3106,1,2050,4 annees,3,rien,1 mois,l'epargne de la societe de construction,louer,2,0
Femme,31,employe qualifie,21948557,,48,rembourse,Electronique,13516,1,140,2 annees,3,rien,0 mois,autre,propre,1,1
Femme,23,resident non qualifie,24053945,,24,rembourse,meubles,6468,1,740,0 mois,4,rien,9 annees,immobilier,louer,1,1
Femme,26,independant de gestion,23105575,,24,rembourse,voiture (occasion),10866,1,0,,2,rien,6 ans,l'epargne de la societe de construction,louer,1,0
Femme,22,resident non qualifie,24527479,,15,rembourse,Entreprise,1612,1,950,1 ans,4,rien,16 ans,l'epargne de la societe de construction,propre,1,0
Femme,24,employe qualifie,28834610,,15,critique,meubles,5576,1,970,4 annees,2,codemandeur,4 annees,autre,propre,2,0
Femme,27,employe qualifie,23347387,,12,rembourse,Electronique,5860,1,360,7 ans,2,rien,,immobilier,propre,1,0
Femme,33,employe qualifie,24951313,,24,critique,education,3854,1,0,1 ans,3,rien,8 mois,autre,propre,2,0
Homme,30,employe qualifie,20368029,Celibataire,18,critique,voiture (neuve),2112,1,900,10 annees,3,garant,4 annees,immobilier,propre,2,1
Homme,49,resident non qualifie,21455706,Celibataire,12,critique,voiture (neuve),6248,2,60,8 mois,1,rien,3 annees,immobilier,propre,2,0
Femme,26,employe qualifie,20942594,,9,rembourse,meubles,2776,1,300,1 ans,4,rien,6 mois,immobilier,louer,1,0
Homme,33,resident non qualifie,25294690,Celibataire,36,rembourse,reparations,4768,1,470,8 mois,4,rien,,inconnu/aucun,louer,1,1
Femme,52,independant de gestion,23355343,,12,rembourse,voiture (neuve),4266,1,0,17 ans,4,rien,24 ans,inconnu/aucun,gratuitement,1,0
Femme,20,employe qualifie,27466967,,18,rembourse,meubles,4078,1,0,3 annees,1,rien,9 annees,immobilier,louer,1,1
Homme,36,employe qualifie,26695978,Celibataire,9,critique,voiture (neuve),5598,2,310,1 ans,2,rien,5 mois,immobilier,louer,2,0
Homme,21,resident non qualifie,24790666,Celibataire,12,rembourse,meubles,2578,1,920,1 ans,4,garant,,l'epargne de la societe de construction,propre,1,0
Homme,47,resident non qualifie,23558297,marie,18,rembourse,appareils electromenagers,2434,1,10,3 annees,4,rien,3 annees,immobilier,propre,1,1
Femme,58,resident non qualifie,24521995,,12,critique,Electronique,770,1,600,5 annees,4,rien,3 annees,immobilier,propre,4,0
Femme,42,employe qualifie,25673934,,24,retarde,voiture (neuve),3930,1,0,2 annees,4,rien,19 annees,autre,louer,2,0
Femme,36,resident non qualifie,21022015,,21,rembourse,Entreprise,3144,1,194850,7 ans,4,rien,12 ans,immobilier,propre,1,0
Femme,20,resident non qualifie,26779604,,24,rembourse,voiture (neuve),5436,1,530,1 ans,3,rien,20 ans,l'epargne de la societe de construction,louer,1,1
Homme,40,independant de gestion,27806846,Celibataire,24,entierement rembourse cette banque,autres,2716,1,0,13 ans,4,rien,4 annees,autre,propre,1,1
Femme,32,resident non qualifie,27165845,,6,entierement rembourse cette banque,voiture (neuve),1862,1,2130,9 mois,1,rien,,l'epargne de la societe de construction,propre,1,1
Femme,23,employe qualifie,24607590,,24,rembourse,voiture (neuve),2884,1,890,6 ans,4,rien,7 ans,autre,louer,2,1
Homme,31,employe qualifie,26875373,Celibataire,18,critique,voiture (neuve),5550,1,130,4 annees,2,rien,8 mois,l'epargne de la societe de construction,propre,2,1
Femme,30,employe qualifie,22648430,,9,rembourse,meubles,1836,1,860,1 ans,4,rien,,l'epargne de la societe de construction,propre,1,1
Femme,34,resident non qualifie,25713892,,24,entierement rembourse cette banque,education,3674,1,890,7 ans,4,rien,23 annees,inconnu/aucun,gratuitement,1,1
Femme,28,independant de gestion,28928787,,36,rembourse,meubles,6698,1,0,1 ans,4,rien,5 mois,autre,propre,1,1
Homme,74,independant de gestion,21817530,Celibataire,24,critique,Entreprise,9052,1,600,2 annees,3,rien,5 mois,immobilier,propre,1,0
Femme,50,employe qualifie,28642524,,36,rembourse,Electronique,5342,1,2410,1 ans,4,codemandeur,5 annees,inconnu/aucun,gratuitement,1,1
Femme,22,employe qualifie,26048379,,12,rembourse,appareils electromenagers,1482,1,4080,,4,rien,2 annees,l'epargne de la societe de construction,propre,1,1
Femme,29,employe qualifie,29492467,,21,rembourse,Electronique,6714,1,31380,9 mois,4,rien,1 mois,autre,propre,1,0
Femme,22,employe qualifie,28368074,,24,entierement rembourse cette banque,voiture (occasion),7264,1,570,1 ans,1,garant,13 ans,autre,louer,1,0
Femme,22,employe qualifie,22649553,,18,retarde,meubles,3616,1,30,6 ans,4,rien,,immobilier,propre,1,1
Homme,48,independant de gestion,21354026,Celibataire,48,entierement rembourse,Entreprise,24408,1,0,1 ans,2,rien,9 mois,autre,propre,1,0
Homme,27,independant de gestion,24766486,Celibataire,60,retarde,Electronique,18314,1,0,3 annees,2,rien,1 mois,inconnu/aucun,gratuitement,1,0
Femme,21,employe qualifie,20965778,,30,rembourse,meubles,6882,1,3150,1 ans,2,codemandeur,17 ans,autre,louer,1,1
Homme,49,resident non qualifie,21632464,divorce,12,rembourse,voiture (neuve),1280,1,880,2 annees,4,rien,0 mois,immobilier,propre,1,0
Homme,27,employe qualifie,27957008,Celibataire,21,critique,Entreprise,7304,1,490,4 annees,2,rien,2 annees,l'epargne de la societe de construction,propre,2,0
Homme,32,employe qualifie,24975806,Celibataire,18,critique,voiture (neuve),3060,1,600,3 annees,3,rien,0 mois,l'epargne de la societe de construction,propre,2,1
Femme,22,employe qualifie,25304006,,12,rembourse,meubles,3716,1,350,4 mois,4,rien,,autre,louer,1,0
Homme,65,employe qualifie,21113601,Celibataire,18,rembourse,Electronique,5200,1,470,2 annees,4,rien,23 annees,inconnu/aucun,gratuitement,2,1
Homme,35,employe qualifie,24006605,Celibataire,15,rembourse,Electronique,3958,1,0,11 ans,4,rien,1 mois,autre,propre,1,0
Homme,41,employe qualifie,28135798,Celibataire,6,rembourse,meubles,4232,1,340,1 ans,2,rien,9 mois,immobilier,propre,1,0
Homme,29,employe qualifie,29323030,Celibataire,9,entierement rembourse cette banque,voiture (neuve),2874,1,4730,5 annees,2,rien,4 annees,inconnu/aucun,propre,1,1
Homme,64,resident non qualifie,28396756,Celibataire,9,rembourse,education,7664,1,0,17 ans,1,rien,13 ans,immobilier,propre,1,0
Homme,44,employe qualifie,28593150,Celibataire,18,entierement rembourse cette banque,meubles,3106,1,290,1 ans,4,rien,3 annees,autre,propre,1,1
Femme,19,employe qualifie,26671378,,9,rembourse,meubles,3960,1,310,11 mois,2,codemandeur,3 mois,autre,louer,2,1
Homme,47,employe qualifie,27241189,Celibataire,12,rembourse,education,2786,2,600,7 ans,4,rien,11 ans,l'epargne de la societe de construction,propre,3,0
Femme,28,employe qualifie,26478170,,24,rembourse,Electronique,2752,1,7190,4 annees,4,rien,,autre,propre,1,0
Homme,21,employe qualifie,23762442,Celibataire,60,retarde,Electronique,31306,1,60,7 ans,2,rien,18 ans,autre,propre,2,0
Femme,34,employe qualifie,25327518,,12,rembourse,Electronique,2986,2,890,3 mois,4,rien,2 annees,autre,propre,1,0
Homme,38,resident non qualifie,21244425,Celibataire,15,rembourse,reparations,2616,1,150,14 ans,4,rien,7 ans,autre,propre,2,0
Homme,40,independant de gestion,22511774,Celibataire,15,rembourse,education,9246,1,4130,3 annees,3,rien,9 mois,l'epargne de la societe de construction,propre,1,1
Homme,33,employe qualifie,22886579,marie,24,critique,Electronique,3702,1,270,5 annees,4,garant,10 mois,autre,propre,2,0
Homme,27,employe qualifie,25095223,Celibataire,36,retarde,Entreprise,15960,1,0,8 mois,4,rien,18 ans,autre,louer,2,1
Homme,32,employe qualifie,29612896,divorce,30,entierement rembourse,meubles,9166,1,990,2 annees,2,garant,8 mois,immobilier,propre,2,0
Homme,38,employe qualifie,22330690,Celibataire,24,rembourse,voiture (neuve),1894,2,250,5 annees,4,rien,4 annees,inconnu/aucun,gratuitement,1,1
Homme,40,resident non qualifie,26151945,Celibataire,12,rembourse,education,1368,2,800,3 annees,4,rien,18 ans,autre,louer,1,1
Homme,50,independant de gestion,23463965,Celibataire,48,rembourse,education,14952,1,550,6 ans,4,rien,,inconnu/aucun,gratuitement,1,0
Homme,37,resident non qualifie,23147452,Celibataire,12,rembourse,meubles,3844,1,390,2 annees,4,rien,6 mois,l'epargne de la societe de construction,propre,1,1
Homme,45,employe qualifie,28733726,Celibataire,24,rembourse,voiture (neuve),4606,1,50,11 ans,4,codemandeur,,immobilier,propre,1,1
Homme,42,independant de gestion,20517699,Celibataire,36,retarde,voiture (neuve),16172,1,4400,8 annees,2,rien,12 ans,autre,propre,4,1
Homme,35,employe qualifie,23820117,Celibataire,24,critique,voiture (occasion),4692,1,530,4 annees,4,rien,2 annees,autre,propre,2,0
Homme,22,employe qualifie,25875137,Celibataire,14,rembourse,voiture (neuve),7946,1,160,,1,rien,23 annees,inconnu/aucun,gratuitement,1,0
Homme,41,resident non qualifie,20670636,Celibataire,12,rembourse,voiture (neuve),1776,2,170,11 ans,4,rien,5 annees,autre,propre,1,1
Homme,41,employe qualifie,22494810,Celibataire,18,critique,meubles,12722,1,810,10 annees,2,rien,,inconnu/aucun,propre,1,0
Homme,23,employe qualifie,26605439,marie,12,rembourse,Electronique,2594,1,110,1 ans,3,rien,14 ans,immobilier,louer,1,0
Homme,23,employe qualifie,26428054,marie,12,rembourse,voiture (neuve),1800,1,0,2 annees,4,rien,3 mois,autre,propre,1,1
Homme,50,employe qualifie,28332054,Celibataire,21,rembourse,meubles,4482,1,180,18 ans,4,rien,11 mois,immobilier,propre,2,0
Homme,35,independant de gestion,21721938,Celibataire,6,retarde,meubles,2100,1,480,,4,rien,,l'epargne de la societe de construction,propre,2,0
Femme,50,resident non qualifie,28072361,,6,critique,education,2094,1,840,3 annees,2,rien,7 ans,l'epargne de la societe de construction,propre,1,0
Femme,27,employe qualifie,26617362,,48,entierement rembourse cette banque,Entreprise,7218,1,390,1 ans,1,rien,,immobilier,propre,1,0
Homme,43,employe qualifie,24051608,Celibataire,12,critique,voiture (neuve),9686,1,730,9 annees,3,codemandeur,19 annees,l'epargne de la societe de construction,louer,2,1
Homme,31,employe qualifie,25431167,Celibataire,36,rembourse,Entreprise,11484,1,1110,5 annees,2,rien,8 mois,autre,propre,2,0
Homme,41,resident non qualifie,25992815,Celibataire,21,retarde,Entreprise,5160,2,5620,11 mois,4,rien,1 mois,immobilier,propre,1,1
Femme,26,independant de gestion,27030828,,30,critique,Electronique,9060,1,190,5 annees,4,rien,16 ans,autre,louer,1,0
Homme,33,employe qualifie,26407722,Celibataire,24,critique,meubles,10300,1,530,15 ans,4,rien,22 ans,autre,propre,1,0
Homme,24,employe qualifie,24733215,marie,72,rembourse,Electronique,11190,1,4860,2 annees,2,rien,0 mois,autre,propre,1,1
Homme,64,resident non qualifie,27985909,Celibataire,24,rembourse,Electronique,4768,1,610,11 ans,4,rien,23 annees,immobilier,louer,1,0
Femme,56,employe qualifie,27700194,,6,rembourse,education,3076,1,690,8 mois,1,rien,11 mois,inconnu/aucun,propre,1,0
Homme,37,employe qualifie,23041209,Celibataire,12,rembourse,Electronique,4558,1,0,3 annees,4,rien,13 ans,inconnu/aucun,gratuitement,1,0
Homme,33,employe qualifie,23718829,marie,15,retarde,Electronique,2956,1,480,3 annees,4,rien,1 ans,immobilier,propre,2,0
Homme,47,employe qualifie,23957178,marie,24,critique,Electronique,10206,1,100,2 mois,3,rien,2 annees,inconnu/aucun,gratuitement,3,0
Homme,31,resident non qualifie,20592679,Celibataire,36,retarde,Entreprise,19714,2,3710,5 annees,1,rien,3 annees,l'epargne de la societe de construction,propre,2,0
Homme,34,employe qualifie,26984157,Celibataire,60,rembourse,voiture (neuve),13054,2,0,1 ans,4,rien,8 annees,inconnu/aucun,gratuitement,1,0
Homme,27,employe qualifie,28189234,Celibataire,10,critique,Electronique,2694,1,0,6 ans,4,rien,6 mois,l'epargne de la societe de construction,propre,2,0
Homme,30,employe qualifie,27916188,Celibataire,36,retarde,voiture (neuve),5724,1,2530,18 ans,4,rien,1 ans,inconnu/aucun,gratuitement,1,0
Homme,35,employe qualifie,20947537,Celibataire,9,rembourse,Electronique,5506,1,4260,7 ans,3,codemandeur,21 ans,autre,propre,1,0
Homme,31,employe qualifie,22465557,Celibataire,12,rembourse,voiture (neuve),7302,2,199700,2 annees,1,rien,4 annees,l'epargne de la societe de construction,propre,1,0
Femme,25,resident non qualifie,27925369,,15,rembourse,reparations,5262,1,4630,3 annees,3,rien,9 mois,immobilier,propre,1,0
Homme,29,employe qualifie,27767528,Celibataire,24,rembourse,Electronique,5792,1,4810,4 mois,2,rien,,autre,propre,1,0
Homme,44,resident non qualifie,28719306,Celibataire,6,critique,voiture (neuve),9432,2,0,10 mois,1,rien,3 annees,immobilier,propre,2,0
Homme,28,employe qualifie,21703888,Celibataire,24,rembourse,Electronique,4568,1,570,6 ans,4,rien,11 mois,autre,propre,1,0
Femme,38,chomeur non resident,24431588,,12,critique,voiture (neuve),1852,1,520,,1,rien,10 mois,l'epargne de la societe de construction,propre,1,0
Homme,24,employe qualifie,21177031,Celibataire,18,critique,Electronique,3600,1,850,1 ans,4,rien,2 mois,autre,propre,2,0
Homme,40,independant de gestion,25932978,Celibataire,15,rembourse,education,3810,1,770,12 ans,4,rien,8 annees,autre,louer,1,0
Femme,29,resident non qualifie,22711027,,12,rembourse,meubles,2246,1,9930,1 ans,4,rien,17 ans,autre,louer,1,1
Homme,46,employe qualifie,28250014,Celibataire,48,critique,voiture (occasion),12662,1,380,18 ans,4,rien,19 annees,inconnu/aucun,gratuitement,2,1
Femme,47,employe qualifie,23581520,,24,rembourse,Electronique,2754,1,1440,12 ans,4,rien,11 mois,inconnu/aucun,gratuitement,1,0
